mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,VIN,od_reading,od_reading_dt
16.2,6,163,133,3410,15.8,78,2,peugeot 604sl,3GNBAADB8AS581680,87700,10/5/2018
31.5,4,89,71,1990,14.9,78,2,volkswagen scirocco,3GNBAADB8AS581681,87800,10/6/2018
29.5,4,98,68,2135,16.6,78,3,honda accord lx,3GNBAADB8AS581682,87900,10/7/2018
21.5,6,231,115,3245,15.4,79,1,pontiac lemans v6,3GNBAADB8AS581683,88000,10/8/2018
19.8,6,200,85,2990,18.2,79,1,mercury zephyr 6,3GNBAADB8AS581684,88100,10/9/2018
22.3,4,140,88,2890,17.3,79,1,ford fairmont 4,3GNBAADB8AS581685,88200,10/10/2018
20.2,6,232,90,3265,18.2,79,1,amc concord dl 6,3GNBAADB8AS581686,88300,10/11/2018
20.6,6,225,110,3360,16.6,79,1,dodge aspen 6,3GNBAADB8AS581687,88400,10/12/2018
17,8,305,130,3840,15.4,79,1,chevrolet caprice classic,3GNBAADB8AS581688,88500,10/13/2018
17.6,8,302,129,3725,13.4,79,1,ford ltd landau,3GNBAADB8AS581689,88600,10/14/2018
16.5,8,351,138,3955,13.2,79,1,mercury grand marquis,3GNBAADB8AS581690,88700,10/15/2018
18.2,8,318,135,3830,15.2,79,1,dodge st. regis,3GNBAADB8AS581691,88800,10/16/2018
16.9,8,350,155,4360,14.9,79,1,buick estate wagon (sw),3GNBAADB8AS581692,88900,10/17/2018
15.5,8,351,142,4054,14.3,79,1,ford country squire (sw),3GNBAADB8AS581693,89000,10/18/2018
19.2,8,267,125,3605,15,79,1,chevrolet malibu classic (sw),3GNBAADB8AS581694,89100,10/19/2018
18.5,8,360,150,3940,13,79,1,chrysler lebaron town @ country (sw),3GNBAADB8AS581695,89200,10/20/2018
31.9,4,89,71,1925,14,79,2,vw rabbit custom,3GNBAADB8AS581696,89300,10/21/2018
34.1,4,86,65,1975,15.2,79,3,maxda glc deluxe,3GNBAADB8AS581697,89400,10/22/2018
35.7,4,98,80,1915,14.4,79,1,dodge colt hatchback custom,3GNBAADB8AS581698,89500,10/23/2018
27.4,4,121,80,2670,15,79,1,amc spirit dl,3GNBAADB8AS581699,89600,10/24/2018
25.4,5,183,77,3530,20.1,79,2,mercedes benz 300d,3GNBAADB8AS581700,89700,10/25/2018
23,8,350,125,3900,17.4,79,1,cadillac eldorado,3GNBAADB8AS581701,89800,10/26/2018
27.2,4,141,71,3190,24.8,79,2,peugeot 504,3GNBAADB8AS581702,89900,10/27/2018
23.9,8,260,90,3420,22.2,79,1,oldsmobile cutlass salon brougham,3GNBAADB8AS581703,90000,10/28/2018
34.2,4,105,70,2200,13.2,79,1,plymouth horizon,3GNBAADB8AS581704,90100,10/29/2018
34.5,4,105,70,2150,14.9,79,1,plymouth horizon tc3,3GNBAADB8AS581705,90200,10/30/2018
31.8,4,85,65,2020,19.2,79,3,datsun 210,3GNBAADB8AS581706,90300,10/31/2018
37.3,4,91,69,2130,14.7,79,2,fiat strada custom,3GNBAADB8AS581707,90400,11/1/2018
28.4,4,151,90,2670,16,79,1,buick skylark limited,3GNBAADB8AS581708,90500,11/2/2018
28.8,6,173,115,2595,11.3,79,1,chevrolet citation,3GNBAADB8AS581709,90600,11/3/2018
26.8,6,173,115,2700,12.9,79,1,oldsmobile omega brougham,3GNBAADB8AS581710,90700,11/4/2018
33.5,4,151,90,2556,13.2,79,1,pontiac phoenix,3GNBAADB8AS581711,90800,11/5/2018
41.5,4,98,76,2144,14.7,80,2,vw rabbit,3GNBAADB8AS581712,90900,11/6/2018
38.1,4,89,60,1968,18.8,80,3,toyota corolla tercel,3GNBAADB8AS581713,91000,11/7/2018
32.1,4,98,70,2120,15.5,80,1,chevrolet chevette,3GNBAADB8AS581714,91100,11/8/2018
37.2,4,86,65,2019,16.4,80,3,datsun 310,3GNBAADB8AS581715,91200,11/9/2018
28,4,151,90,2678,16.5,80,1,chevrolet citation,3GNBAADB8AS581716,91300,11/10/2018
26.4,4,140,88,2870,18.1,80,1,ford fairmont,3GNBAADB8AS581717,91400,11/11/2018
24.3,4,151,90,3003,20.1,80,1,amc concord,3GNBAADB8AS581718,91500,11/12/2018
19.1,6,225,90,3381,18.7,80,1,dodge aspen,3GNBAADB8AS581719,91600,11/13/2018
34.3,4,97,78,2188,15.8,80,2,audi 4000,3GNBAADB8AS581720,91700,11/14/2018
29.8,4,134,90,2711,15.5,80,3,toyota corona liftback,3GNBAADB8AS581721,91800,11/15/2018
31.3,4,120,75,2542,17.5,80,3,mazda 626,3GNBAADB8AS581722,91900,11/16/2018
37,4,119,92,2434,15,80,3,datsun 510 hatchback,3GNBAADB8AS581723,92000,11/17/2018
32.2,4,108,75,2265,15.2,80,3,toyota corolla,3GNBAADB8AS581724,92100,11/18/2018
46.6,4,86,65,2110,17.9,80,3,mazda glc,3GNBAADB8AS581725,92200,11/19/2018
27.9,4,156,105,2800,14.4,80,1,dodge colt,3GNBAADB8AS581726,92300,11/20/2018
40.8,4,85,65,2110,19.2,80,3,datsun 210,3GNBAADB8AS581727,92400,11/21/2018
44.3,4,90,48,2085,21.7,80,2,vw rabbit c (diesel),3GNBAADB8AS581728,92500,11/22/2018
43.4,4,90,48,2335,23.7,80,2,vw dasher (diesel),3GNBAADB8AS581729,92600,11/23/2018
36.4,5,121,67,2950,19.9,80,2,audi 5000s (diesel),3GNBAADB8AS581730,92700,11/24/2018
30,4,146,67,3250,21.8,80,2,mercedes-benz 240d,3GNBAADB8AS581731,92800,11/25/2018
44.6,4,91,67,1850,13.8,80,3,honda civic 1500 gl,3GNBAADB8AS581732,92900,11/26/2018
40.9,4,85,?,1835,17.3,80,2,renault lecar deluxe,3GNBAADB8AS581733,93000,11/27/2018
33.8,4,97,67,2145,18,80,3,subaru dl,3GNBAADB8AS581734,93100,11/28/2018
29.8,4,89,62,1845,15.3,80,2,vokswagen rabbit,3GNBAADB8AS581735,93200,11/29/2018
32.7,6,168,132,2910,11.4,80,3,datsun 280-zx,3GNBAADB8AS581736,93300,11/30/2018
23.7,3,70,100,2420,12.5,80,3,mazda rx-7 gs,3GNBAADB8AS581737,93400,12/1/2018
35,4,122,88,2500,15.1,80,2,triumph tr7 coupe,3GNBAADB8AS581738,93500,12/2/2018
23.6,4,140,?,2905,14.3,80,1,ford mustang cobra,3GNBAADB8AS581739,93600,12/3/2018
32.4,4,107,72,2290,17,80,3,honda accord,3GNBAADB8AS581740,93700,12/4/2018
27.2,4,135,84,2490,15.7,81,1,plymouth reliant,3GNBAADB8AS581741,93800,12/5/2018
26.6,4,151,84,2635,16.4,81,1,buick skylark,3GNBAADB8AS581742,93900,12/6/2018
25.8,4,156,92,2620,14.4,81,1,dodge aries wagon (sw),3GNBAADB8AS581743,94000,12/7/2018
23.5,6,173,110,2725,12.6,81,1,chevrolet citation,3GNBAADB8AS581744,94100,12/8/2018
30,4,135,84,2385,12.9,81,1,plymouth reliant,3GNBAADB8AS581745,94200,12/9/2018
39.1,4,79,58,1755,16.9,81,3,toyota starlet,3GNBAADB8AS581746,94300,12/10/2018
39,4,86,64,1875,16.4,81,1,plymouth champ,3GNBAADB8AS581747,94400,12/11/2018
35.1,4,81,60,1760,16.1,81,3,honda civic 1300,3GNBAADB8AS581748,94500,12/12/2018
32.3,4,97,67,2065,17.8,81,3,subaru,3GNBAADB8AS581749,94600,12/13/2018
37,4,85,65,1975,19.4,81,3,datsun 210 mpg,3GNBAADB8AS581750,94700,12/14/2018
37.7,4,89,62,2050,17.3,81,3,toyota tercel,3GNBAADB8AS581751,94800,12/15/2018
34.1,4,91,68,1985,16,81,3,mazda glc 4,3GNBAADB8AS581752,94900,12/16/2018
34.7,4,105,63,2215,14.9,81,1,plymouth horizon 4,3GNBAADB8AS581753,95000,12/17/2018
34.4,4,98,65,2045,16.2,81,1,ford escort 4w,3GNBAADB8AS581754,95100,12/18/2018
29.9,4,98,65,2380,20.7,81,1,ford escort 2h,3GNBAADB8AS581755,95200,12/19/2018
33,4,105,74,2190,14.2,81,2,volkswagen jetta,3GNBAADB8AS581756,95300,12/20/2018
34.5,4,100,?,2320,15.8,81,2,renault 18i,3GNBAADB8AS581757,95400,12/21/2018
33.7,4,107,75,2210,14.4,81,3,honda prelude,3GNBAADB8AS581758,95500,12/22/2018
32.4,4,108,75,2350,16.8,81,3,toyota corolla,3GNBAADB8AS581759,95600,12/23/2018
32.9,4,119,100,2615,14.8,81,3,datsun 200sx,3GNBAADB8AS581760,95700,12/24/2018
31.6,4,120,74,2635,18.3,81,3,mazda 626,3GNBAADB8AS581761,95800,12/25/2018
28.1,4,141,80,3230,20.4,81,2,peugeot 505s turbo diesel,3GNBAADB8AS581762,95900,12/26/2018
30.7,6,145,76,3160,19.6,81,2,volvo diesel,3GNBAADB8AS581763,96000,12/27/2018
25.4,6,168,116,2900,12.6,81,3,toyota cressida,3GNBAADB8AS581764,96100,12/28/2018
24.2,6,146,120,2930,13.8,81,3,datsun 810 maxima,3GNBAADB8AS581765,96200,12/29/2018
22.4,6,231,110,3415,15.8,81,1,buick century,3GNBAADB8AS581766,96300,12/30/2018
26.6,8,350,105,3725,19,81,1,oldsmobile cutlass ls,3GNBAADB8AS581767,96400,12/31/2018
20.2,6,200,88,3060,17.1,81,1,ford granada gl,3GNBAADB8AS581768,96500,1/1/2019
17.6,6,225,85,3465,16.6,81,1,chrysler lebaron salon,3GNBAADB8AS581769,96600,1/2/2019
28,4,112,88,2605,19.6,82,1,chevrolet cavalier,3GNBAADB8AS581770,96700,1/3/2019
27,4,112,88,2640,18.6,82,1,chevrolet cavalier wagon,3GNBAADB8AS581771,96800,1/4/2019
34,4,112,88,2395,18,82,1,chevrolet cavalier 2-door,3GNBAADB8AS581772,96900,1/5/2019
31,4,112,85,2575,16.2,82,1,pontiac j2000 se hatchback,3GNBAADB8AS581773,97000,1/6/2019
29,4,135,84,2525,16,82,1,dodge aries se,3GNBAADB8AS581774,97100,1/7/2019
27,4,151,90,2735,18,82,1,pontiac phoenix,3GNBAADB8AS581775,97200,1/8/2019
24,4,140,92,2865,16.4,82,1,ford fairmont futura,3GNBAADB8AS581776,97300,1/9/2019
23,4,151,?,3035,20.5,82,1,amc concord dl,3GNBAADB8AS581777,97400,1/10/2019
36,4,105,74,1980,15.3,82,2,volkswagen rabbit l,3GNBAADB8AS581778,97500,1/11/2019
37,4,91,68,2025,18.2,82,3,mazda glc custom l,3GNBAADB8AS581779,97600,1/12/2019
31,4,91,68,1970,17.6,82,3,mazda glc custom,3GNBAADB8AS581780,97700,1/13/2019
38,4,105,63,2125,14.7,82,1,plymouth horizon miser,3GNBAADB8AS581781,97800,1/14/2019
36,4,98,70,2125,17.3,82,1,mercury lynx l,3GNBAADB8AS581782,97900,1/15/2019
36,4,120,88,2160,14.5,82,3,nissan stanza xe,3GNBAADB8AS581783,98000,1/16/2019
36,4,107,75,2205,14.5,82,3,honda accord,3GNBAADB8AS581784,98100,1/17/2019
34,4,108,70,2245,16.9,82,3,toyota corolla,3GNBAADB8AS581785,98200,1/18/2019
38,4,91,67,1965,15,82,3,honda civic,3GNBAADB8AS581786,98300,1/19/2019
32,4,91,67,1965,15.7,82,3,honda civic (auto),3GNBAADB8AS581787,98400,1/20/2019
38,4,91,67,1995,16.2,82,3,datsun 310 gx,3GNBAADB8AS581788,98500,1/21/2019
25,6,181,110,2945,16.4,82,1,buick century limited,3GNBAADB8AS581789,98600,1/22/2019
38,6,262,85,3015,17,82,1,oldsmobile cutlass ciera (diesel),3GNBAADB8AS581790,98700,1/23/2019
26,4,156,92,2585,14.5,82,1,chrysler lebaron medallion,3GNBAADB8AS581791,98800,1/24/2019
22,6,232,112,2835,14.7,82,1,ford granada l,3GNBAADB8AS581792,98900,1/25/2019
32,4,144,96,2665,13.9,82,3,toyota celica gt,3GNBAADB8AS581793,99000,1/26/2019
36,4,135,84,2370,13,82,1,dodge charger 2.2,3GNBAADB8AS581794,99100,1/27/2019
27,4,151,90,2950,17.3,82,1,chevrolet camaro,3GNBAADB8AS581795,99200,1/28/2019
27,4,140,86,2790,15.6,82,1,ford mustang gl,3GNBAADB8AS581796,99300,1/29/2019
44,4,97,52,2130,24.6,82,2,vw pickup,3GNBAADB8AS581797,99400,1/30/2019
32,4,135,84,2295,11.6,82,1,dodge rampage,3GNBAADB8AS581798,99500,1/31/2019
28,4,120,79,2625,18.6,82,1,ford ranger,3GNBAADB8AS581799,99600,2/1/2019
31,4,119,82,2720,19.4,82,1,chevy s-10,3GNBAADB8AS581800,99700,2/2/2019
